Oct  2 16:19:08 k8s-master-01 systemd: Started kubelet: The Kubernetes Node Agent.
Oct  2 16:19:08 k8s-master-01 kubelet: Flag --cgroup-driver has been deprecated, This parameter should be set via the config file specified by the Kubelet's --config flag. See https://kubernetes.io/docs/tasks/administer-cluster/kubelet-config-file/ for more information.
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772362    3514 flags.go:33] FLAG: --add-dir-header="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772402    3514 flags.go:33] FLAG: --address="0.0.0.0"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772408    3514 flags.go:33] FLAG: --allowed-unsafe-sysctls="[]"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772415    3514 flags.go:33] FLAG: --alsologtostderr="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772419    3514 flags.go:33] FLAG: --anonymous-auth="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772423    3514 flags.go:33] FLAG: --application-metrics-count-limit="100"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772427    3514 flags.go:33] FLAG: --authentication-token-webhook="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772431    3514 flags.go:33] FLAG: --authentication-token-webhook-cache-ttl="2m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772435    3514 flags.go:33] FLAG: --authorization-mode="AlwaysAllow"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772439    3514 flags.go:33] FLAG: --authorization-webhook-cache-authorized-ttl="5m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772442    3514 flags.go:33] FLAG: --authorization-webhook-cache-unauthorized-ttl="30s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772445    3514 flags.go:33] FLAG: --azure-container-registry-config=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772449    3514 flags.go:33] FLAG: --boot-id-file="/proc/sys/kernel/random/boot_id"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772452    3514 flags.go:33] FLAG: --bootstrap-checkpoint-path=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772455    3514 flags.go:33] FLAG: --bootstrap-kubeconfig="/etc/kubernetes/bootstrap-kubelet.conf"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772459    3514 flags.go:33] FLAG: --cert-dir="/var/lib/kubelet/pki"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772462    3514 flags.go:33] FLAG: --cgroup-driver="systemd"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772465    3514 flags.go:33] FLAG: --cgroup-root=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772468    3514 flags.go:33] FLAG: --cgroups-per-qos="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772471    3514 flags.go:33] FLAG: --chaos-chance="0"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772476    3514 flags.go:33] FLAG: --client-ca-file=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772479    3514 flags.go:33] FLAG: --cloud-config=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772482    3514 flags.go:33] FLAG: --cloud-provider=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772485    3514 flags.go:33] FLAG: --cluster-dns="[]"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772489    3514 flags.go:33] FLAG: --cluster-domain=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772491    3514 flags.go:33] FLAG: --cni-bin-dir="/opt/cni/bin"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772495    3514 flags.go:33] FLAG: --cni-cache-dir="/var/lib/cni/cache"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772498    3514 flags.go:33] FLAG: --cni-conf-dir="/etc/cni/net.d"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772501    3514 flags.go:33] FLAG: --config="/var/lib/kubelet/config.yaml"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772504    3514 flags.go:33] FLAG: --container-hints="/etc/cadvisor/container_hints.json"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772508    3514 flags.go:33] FLAG: --container-log-max-files="5"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772512    3514 flags.go:33] FLAG: --container-log-max-size="10Mi"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772515    3514 flags.go:33] FLAG: --container-runtime="docker"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772518    3514 flags.go:33] FLAG: --container-runtime-endpoint="unix:///var/run/dockershim.sock"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772521    3514 flags.go:33] FLAG: --containerd="/run/containerd/containerd.sock"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772525    3514 flags.go:33] FLAG: --contention-profiling="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772528    3514 flags.go:33] FLAG: --cpu-cfs-quota="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772531    3514 flags.go:33] FLAG: --cpu-cfs-quota-period="100ms"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772534    3514 flags.go:33] FLAG: --cpu-manager-policy="none"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772537    3514 flags.go:33] FLAG: --cpu-manager-reconcile-period="10s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772540    3514 flags.go:33] FLAG: --docker="unix:///var/run/docker.sock"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772544    3514 flags.go:33] FLAG: --docker-endpoint="unix:///var/run/docker.sock"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772547    3514 flags.go:33] FLAG: --docker-env-metadata-whitelist=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772550    3514 flags.go:33] FLAG: --docker-only="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772553    3514 flags.go:33] FLAG: --docker-root="/var/lib/docker"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772567    3514 flags.go:33] FLAG: --docker-tls="false"
Oct  2 16:19:08 k8s-master-01 systemd: Started Kubernetes systemd probe.
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772572    3514 flags.go:33] FLAG: --docker-tls-ca="ca.pem"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772575    3514 flags.go:33] FLAG: --docker-tls-cert="cert.pem"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772578    3514 flags.go:33] FLAG: --docker-tls-key="key.pem"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772582    3514 flags.go:33] FLAG: --dynamic-config-dir=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772589    3514 flags.go:33] FLAG: --enable-cadvisor-json-endpoints="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772592    3514 flags.go:33] FLAG: --enable-controller-attach-detach="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772595    3514 flags.go:33] FLAG: --enable-debugging-handlers="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772598    3514 flags.go:33] FLAG: --enable-load-reader="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772601    3514 flags.go:33] FLAG: --enable-server="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772604    3514 flags.go:33] FLAG: --enforce-node-allocatable="[pods]"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772611    3514 flags.go:33] FLAG: --event-burst="10"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772614    3514 flags.go:33] FLAG: --event-qps="5"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772617    3514 flags.go:33] FLAG: --event-storage-age-limit="default=0"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772621    3514 flags.go:33] FLAG: --event-storage-event-limit="default=0"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772624    3514 flags.go:33] FLAG: --eviction-hard="imagefs.available<15%,memory.available<100Mi,nodefs.available<10%,nodefs.inodesFree<5%"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772634    3514 flags.go:33] FLAG: --eviction-max-pod-grace-period="0"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772638    3514 flags.go:33] FLAG: --eviction-minimum-reclaim=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772644    3514 flags.go:33] FLAG: --eviction-pressure-transition-period="5m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772650    3514 flags.go:33] FLAG: --eviction-soft=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772653    3514 flags.go:33] FLAG: --eviction-soft-grace-period=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772656    3514 flags.go:33] FLAG: --exit-on-lock-contention="false"
